"freq","word5","word4","word3","word2","word1"
1e+06,"to","able","be","not","will"
1e+06,"to","able","be","will","i"
1e+06,"while","a","in","once","every"
1e+06,"time","same","the","at","but"
1e+06,"half","a","and","hour","an"
1e+06,"to","able","be","not","would"
1e+06,"is","it","what","is","it"
1e+06,"with","run","mi","a","finished"
1e+06,"out","it","check","will","i"
1e+06,"run","mi","a","finished","just"
1e+06,"to","able","be","to","going"
1e+06,"states","united","the","of","president"
1e+06,"to","forward","look","i","and"
1e+06,"to","sites","for","means","a"
1e+06,"amazon","to","linking","and","advertising"
1e+06,"and","advertising","by","fees","advertising"
1e+06,"uk","co","amazon","ca","amazon"
1e+06,"de","amazon","uk","co","amazon"
1e+06,"amazon","ca","amazon","com","amazon"
1e+06,"amazon","fr","amazon","de","amazon"
1e+06,"that","content","certain","es","amazon"
1e+06,"designed","programmes","associates","eu","amazon"
1e+06,"is","content","this","eu","amazon"
1e+06,"and","it","amazon","fr","amazon"
1e+06,"es","amazon","and","it","amazon"
1e+06,"content","certain","es","amazon","and"
1e+06,"programmes","associates","eu","amazon","and"
1e+06,"change","to","subject","is","and"
1e+06,"com","amazon","to","linking","and"
1e+06,"this","eu","amazon","or","and"
1e+06,"comes","website","this","on","appears"
1e+06,"subject","is","and","is","as"
1e+06,"provide","to","designed","programmes","associates"
1e+06,"to","linking","and","advertising","by"
1e+06,"amazon","uk","co","amazon","ca"
1e+06,"on","appears","that","content","certain"
1e+06,"any","at","removal","or","change"
1e+06,"amazon","de","amazon","uk","co"
1e+06,"co","amazon","ca","amazon","com"
1e+06,"in","participant","a","is","com"
1e+06,"llc","services","amazon","from","comes"
1e+06,"is","as","provided","is","content"
1e+06,"this","on","appears","that","content"
1e+06,"it","amazon","fr","amazon","de"
1e+06,"means","a","provide","to","designed"
1e+06,"advertising","by","fees","advertising","earn"
1e+06,"appears","that","content","certain","es"
1e+06,"to","designed","programmes","associates","eu"
1e+06,"provided","is","content","this","eu"
1e+06,"linking","and","advertising","by","fees"
1e+06,"advertising","earn","to","sites","for"
1e+06,"amazon","and","it","amazon","fr"
1e+06,"and","llc","services","amazon","from"
1e+06,"llc","services","amazon","the","in"
1e+06,"the","in","participant","a","is"
1e+06,"to","subject","is","and","is"
1e+06,"and","is","as","provided","is"
1e+06,"certain","es","amazon","and","it"
1e+06,"amazon","com","amazon","to","linking"
1e+06,"associates","eu","amazon","and","llc"
1e+06,"eu","amazon","or","and","llc"
1e+06,"earn","to","sites","for","means"
1e+06,"from","comes","website","this","on"
1e+06,"time","a","at","day","one"
1e+06,"time","all","my","of","one"
1e+06,"content","this","eu","amazon","or"
1e+06,"time","any","at","removal","or"
1e+06,"services","amazon","the","in","participant"
1e+06,"a","provide","to","designed","programmes"
1e+06,"eu","amazon","and","llc","services"
1e+06,"amazon","or","and","llc","services"
1e+06,"fees","advertising","earn","to","sites"
1e+06,"removal","or","change","to","subject"
1e+06,"website","this","on","appears","that"
1e+06,"and","llc","services","amazon","the"
1e+06,"as","provided","is","content","this"
1e+06,"amazon","from","comes","website","this"
1e+06,"ca","amazon","com","amazon","to"
1e+06,"at","removal","or","change","to"
1e+06,"by","fees","advertising","earn","to"
1e+06,"for","means","a","provide","to"
1e+06,"fr","amazon","de","amazon","uk"
1e+06,"services","amazon","from","comes","website"
1e+06,"of","number","a","are","there"
1e+06,"to","able","been","have","i"
1e+06,"time","same","the","at","while"
1e+06,"woman","a","and","man","a"
1e+06,"for","just","rewards","real","get"
1e+06,"time","of","matter","a","only"
1e+06,"watching","for","just","rewards","real"
1e+06,"tv","watching","for","just","rewards"
1e+06,"time","last","the","was","when"
1e+06,"of","matter","a","is","it"
1e+06,"to","able","be","not","may"
1e+06,"yellow","scroll","repeat","none","background"
1e+06,"scroll","repeat","none","background","style"
1e+06,"to","able","be","to","want"
1e+06,"item","in","incorporated","illinois","chicago"
1e+06,"repeat","none","background","style","span"
1e+06,"prison","in","years","to","up"
1e+06,"to","able","be","will","we"
1e+06,"time","a","at","step","one"
1e+06,"direction","right","the","in","step"
1e+06,"to","able","was","i","and"
1e+06,"to","trying","still","am","i"
1e+06,"to","able","be","might","i"
1e+06,"to","enough","lucky","was","i"
1e+06,"corner","the","around","just","is"
1e+06,"illinois","chicago","chicago","of","university"
1e+06,"can","i","so","me","follow"
1e+06,"myself","so","say","do","i"
1e+06,"not","may","or","may","i"
1e+06,"to","used","i","that","somebody"
1e+06,"florists","carolina","south","conway","the"
1e+06,"up","growing","was","i","when"
1e+06,"to","have","will","i","guess"
1e+06,"to","trying","not","am","i"
1e+06,"to","able","not","was","i"
1e+06,"to","able","be","would","i"
1e+06,"to","able","be","to","need"
1e+06,"comment","for","reached","be","not"
1e+06,"italy","in","people","italian","the"
1e+06,"gt","amp","span","lt","amp"
1e+06,"background","style","span","lt","amp"
1e+06,"amp","word","spellcheck","goog","class"
1e+06,"out","day","and","in","day"
1e+06,"gt","amp","word","spellcheck","goog"
1e+06,"to","going","was","i","if"
1e+06,"none","background","style","span","lt"
1e+06,"spellcheck","goog","class","yellow","scroll"
1e+06,"of","lot","a","have","to"
1e+06,"word","spellcheck","goog","class","yellow"
1e+06,"nike","with","of","time","a"
1e+06,"reason","a","for","happens","everything"
1e+06,"forward","looking","follow","the","for"
1e+06,"mother","your","met","i","how"
1e+06,"do","to","nothing","has","it"
1e+06,"with","be","th","the","may"
1e+06,"start","good","a","to","off"
1e+06,"start","great","a","to","off"
1e+06,"are","violets","red","are","roses"
1e+06,"to","going","are","we","that"
1e+06,"to","forward","looking","follow","the"
1e+06,"to","able","be","will","they"
1e+06,"gps","nike","with","of","time"
1e+06,"for","waiting","you","are","what"
1e+06,"to","able","be","never","will"
1e+06,"to","way","long","a","have"
1e+06,"gps","nike","with","run","mi"
1e+06,"you","tell","will","i","and"
1e+06,"to","but","choice","no","had"
1e+06,"school","high","in","was","i"
1e+06,"of","matter","a","just","is"
1e+06,"with","be","fourth","the","may"
1e+06,"to","able","be","not","might"
1e+06,"statement","written","a","in","said"
1e+06,"sodium","mg","cholesterol","mg","saturated"
1e+06,"about","talking","you","are","what"
1e+06,"are","things","wild","the","where"
1e+06,"to","forward","looking","really","am"
1e+06,"you","tell","me","let","and"
1e+06,"fame","of","hall","roll","and"
1e+06,"on","and","on","go","could"
1e+06,"until","or","minutes","to","for"
1e+06,"of","out","kick","a","get"
1e+06,"of","out","most","the","get"
1e+06,"day","is","patrick","st","happy"
1e+06,"to","able","not","am","i"
1e+06,"to","hard","it","find","i"
1e+06,"a","had","everyone","hope","i"
1e+06,"to","going","are","we","if"
1e+06,"seconds","duration","cost","mp","level"
1e+06,"is","women","and","is","men"
1e+06,"of","hall","roll","and","rock"
1e+06,"of","time","a","with","run"
1e+06,"to","forward","look","to","something"
1e+06,"be","to","going","are","there"
1e+06,"to","able","be","should","you"
1e+06,"the","at","wednesday","on","and"
1e+06,"public","the","to","open","and"
1e+06,"to","forward","look","we","and"
1e+06,"show","ct","wallingford","the","at"
1e+06,"of","lot","a","doing","been"
1e+06,"and","you","interview","we","can"
1e+06,"to","comes","it","when","especially"
1e+06,"mac","freddie","and","mae","fannie"
1e+06,"morning","the","in","thing","first"
1e+06,"tattoo","dragon","the","with","girl"
1e+06,"to","able","be","to","have"
1e+06,"of","block","the","in","home"
1e+06,"believer","firm","a","am","i"
1e+06,"time","hard","a","had","i"
1e+06,"to","meaning","been","have","i"
1e+06,"wednesday","on","and","you","interview"
1e+06,"is","here","but","crazy","is"
1e+06,"to","chance","a","had","not"
1e+06,"other","the","or","way","one"
1e+06,"eye","an","of","blink","the"
1e+06,"exchange","stock","york","new","the"
1e+06,"on","and","you","interview","we"
1e+06,"ct","wallingford","the","at","wednesday"
1e+06,"to","way","great","a","what"
1e+06,"to","going","i","am","what"
1e+06,"about","all","is","it","what"
1e+06,"at","wednesday","on","and","you"
1e+06,"to","able","be","may","you"
1e+06,"of","process","the","in","am"
1e+06,"comic","famous","world","the","at"
1e+06,"out","look","the","on","be"
1e+06,"am","i","who","am","i"
1e+06,"time","hard","a","have","i"
1e+06,"to","going","are","they","if"
1e+06,"of","verge","the","on","is"
1e+06,"corner","the","around","right","is"
1e+06,"to","me","for","time","is"
1e+06,"few","a","name","to","just"
1e+06,"services","human","and","health","of"
1e+06,"mention","i","did","and","oh"
1e+06,"to","going","are","we","said"
1e+06,"it","know","i","and","sexy"
1e+06,"of","lines","the","along","something"
1e+06,"about","feel","i","how","sure"
1e+06,"live","comic","famous","world","the"
1e+06,"to","going","not","is","this"
1e+06,"games","hunger","the","see","to"
1e+06,"to","sure","be","will","we"
1e+06,"to","down","comes","it","when"
1e+06,"to","able","be","ll","you"
1e+06,"to","myself","allowed","and","accepted"
1e+06,"me","follow","bro","smile","always"
1e+06,"sudden","a","of","all","and"
1e+06,"least","not","but","last","and"
1e+06,"to","out","go","prayers","and"
1e+06,"of","process","the","in","are"
1e+06,"late","too","is","it","before"
1e+06,"way","long","a","come","have"
1e+06,"to","but","choice","no","have"
1e+06,"to","going","am","i","how"
1e+06,"to","used","get","could","i"
1e+06,"i","that","myself","forgive","i"
1e+06,"to","forward","looking","was","i"
1e+06,"on","going","lot","a","is"
1e+06,"long","too","been","is","it"
1e+06,"of","kind","the","is","it"
1e+06,"to","able","be","to","like"
1e+06,"administration","atmospheric","and","oceanic","national"
1e+06,"with","confused","be","to","not"
1e+06,"to","want","just","i","sometimes"
1e+06,"head","my","in","stuck","song"
1e+06,"security","homeland","of","department","the"
1e+06,"commission","exchange","and","securities","the"
1e+06,"time","long","a","in","time"
1e+06,"done","job","the","get","to"
1e+06,"out","shout","a","give","to"
1e+06,"that","is","means","this","what"
1e+06,"birthday","happy","a","me","wish"
1e+06,"in","interested","be","you","would"
1e+06,"you","thank","you","thank","you"
1e+06,"day","is","mother","great","a"
1e+06,"kind","a","of","one","a"
1e+06,"of","block","the","in","april"
1e+06,"my","up","light","you","baby"
1e+06,"story","true","a","on","based"
1e+06,"of","power","the","in","believe"
1e+06,"life","my","of","day","best"
1e+06,"enemy","the","stun","to","chance"
1e+06,"the","of","tip","law","family"
1e+06,"succeed","not","do","you","first"
1e+06,"on","me","follow","to","forget"
1e+06,"to","as","far","so","go"
1e+06,"with","do","to","anything","had"
1e+06,"day","is","women","international","happy"
1e+06,"to","but","choice","no","has"
1e+06,"to","able","be","will","he"
1e+06,"hunter","matt","hunter","matt","hunter"
1e+06,"hand","other","the","on","i"
1e+06,"of","lot","a","spent","i"
1e+06,"to","trying","just","was","i"
1e+06,"to","way","better","no","is"
1e+06,"of","matter","a","only","is"
1e+06,"of","lot","a","took","it"
1e+06,"day","the","of","tip","law"
1e+06,"mood","good","a","in","me"
1e+06,"direction","right","the","in","moving"
1e+06,"places","historic","of","register","national"
1e+06,"seconds","for","enemy","the","stun"
1e+06,"of","tip","law","family","texas"
1e+06,"hear","to","great","is","that"
1e+06,"control","disease","for","centers","the"
1e+06,"louis","st","of","city","the"
1e+06,"news","daily","york","new","the"
1e+06,"sudden","a","of","all","then"
1e+06,"to","going","is","it","think"
1e+06,"with","do","to","has","this"
1e+06,"with","are","prayers","and","thoughts"
1e+06,"to","going","am","i","time"
1e+06,"followers","new","our","all","to"
1e+06,"for","enemy","the","stun","to"
1e+06,"out","it","figure","to","trying"
1e+06,"to","forward","looking","really","was"
1e+06,"with","up","came","i","what"
1e+06,"did","you","glad","be","will"
1e+06,"time","the","at","old","years"
1e+06,"to","going","am","i","you"
1e+06,"not","or","it","like","you"
1e+06,"air","fresh","of","breath","a"
1e+06,"night","last","time","great","a"
1e+06,"aristotle","habit","a","but","act"
1e+06,"done","and","said","is","all"
1e+06,"lt","amp","lt","gt","amp"
1e+06,"habit","a","but","act","an"
1e+06,"do","repeatedly","we","what","are"
1e+06,"to","forward","looking","you","are"
1e+06,"parks","fountain","and","pates","at"
1e+06,"a","of","drop","the","at"
1e+06,"of","minutes","doing","calories","burned"
1e+06,"not","could","just","i","but"
1e+06,"as","described","be","only","can"
1e+06,"flavor","supreme","the","with","capitalism"
1e+06,"friday","contest","tshirt","wet","certified"
1e+06,"in","incorporated","illinois","chicago","chicago"
1e+06,"get","to","want","drama","club"
1e+06,"want","drama","club","friday","contest"
1e+06,"of","age","the","at","died"
1e+06,"in","get","to","want","drama"
1e+06,"egalitarian","of","spirit","and","flavor"
1e+06,"day","the","of","fact","food"
1e+06,"i","me","txt","free","for"
1e+06,"to","able","being","not","for"
1e+06,"of","part","better","the","for"
1e+06,"the","with","capitalism","of","form"
1e+06,"will","i","me","txt","free"
1e+06,"to","want","drama","club","friday"
1e+06,"life","of","walks","all","from"
1e+06,"span","lt","amp","lt","gt"
1e+06,"with","do","to","little","has"
1e+06,"of","rest","great","a","have"
1e+06,"for","spot","soft","a","have"
1e+06,"do","to","better","nothing","have"
1e+06,"to","time","of","plenty","have"
1e+06,"to","going","not","is","he"
1e+06,"up","close","a","is","here"
1e+06,"of","list","a","is","here"
1e+06,"with","capitalism","of","form","highest"
1e+06,"well","is","all","hope","i"
1e+06,"to","able","be","ll","i"
1e+06,"grade","th","in","was","i"
1e+06,"to","not","try","will","i"
1e+06,"not","did","you","case","in"
1e+06,"me","txt","free","for","in"
1e+06,"much","so","mean","would","it"
1e+06,"email","an","you","sent","just"
1e+06,"to","going","am","i","know"
1e+06,"fullest","the","to","life","live"
1e+06,"amp","span","lt","amp","lt"
1e+06,"ever","be","odds","the","may"
1e+06,"is","this","and","you","met"
1e+06,"for","thankful","be","to","much"
1e+06,"of","rid","get","to","need"
1e+06,"a","but","act","an","not"
1e+06,"i","what","is","that","now"
1e+06,"your","in","ever","be","odds"
1e+06,"supreme","the","with","capitalism","of"
1e+06,"capitalism","of","form","highest","open"
1e+06,"on","touches","finishing","the","putting"
1e+06,"university","loyola","law","of","school"
1e+06,"long","so","took","it","sorry"
1e+06,"famous","world","the","at","stage"
1e+06,"of","spirit","and","flavor","supreme"
1e+06,"time","the","taking","for","thanks"
1e+06,"to","going","is","he","that"
1e+06,"face","his","on","look","the"
1e+06,"historic","of","register","national","the"
1e+06,"in","ever","be","odds","the"
1e+06,"spirit","and","flavor","supreme","the"
1e+06,"of","full","is","world","the"
1e+06,"the","at","stage","the","to"
1e+06,"time","first","the","for","today"
1e+06,"with","up","come","to","trying"
1e+06,"drama","club","friday","contest","tshirt"
1e+06,"tell","will","i","me","txt"
1e+06,"of","form","highest","open","uninterrupted"
1e+06,"just","rewards","real","get","viggle"
1e+06,"out","figure","to","trying","was"
1e+06,"to","going","just","are","we"
1e+06,"club","friday","contest","tshirt","wet"
1e+06,"about","talking","is","he","what"
1e+06,"to","trying","was","i","what"
1e+06,"excellence","do","repeatedly","we","what"
1e+06,"to","want","you","do","where"
1e+06,"of","death","the","be","will"
1e+06,"and","flavor","supreme","the","with"
1e+06,"rewards","real","get","viggle","with"
1e+06,"amp","lt","gt","amp","word"
1e+06,"time","the","taking","for","you"
1e+06,"of","bottom","the","from","you"
1e+06,"to","chance","a","had","you"
1e+06,"a","like","think","lady","a"
1e+06,"face","your","on","smile","a"
1e+06,"to","me","for","way","a"
1e+06,"of","resident","old","year","a"
1e+06,"to","forward","looking","so","am"
1e+06,"span","lt","amp","amp","amp"
1e+06,"style","span","lt","amp","amp"
1e+06,"not","do","just","i","and"
1e+06,"cause","just","works","it","and"
1e+06,"to","able","being","not","and"
1e+06,"of","plenty","are","there","and"
1e+06,"to","way","great","a","are"
1e+06,"of","midst","the","in","are"
1e+06,"two","or","one","least","at"
1e+06,"me","pungle","the","with","can"
1e+06,"can","you","if","me","catch"
1e+06,"year","new","happy","and","christmas"
1e+06,"this","tag","to","wfuv","com"
1e+06,"to","up","attacks","damage","cost"
1e+06,"for","center","the","of","director"
