"freq","word6","word5","word4","word3","word2","word1"
1e+06,"run","mi","a","finished","just","i"
1e+06,"with","run","mi","a","finished","just"
1e+06,"earn","to","sites","for","means","a"
1e+06,"services","amazon","the","in","participant","a"
1e+06,"com","amazon","to","linking","and","advertising"
1e+06,"linking","and","advertising","by","fees","advertising"
1e+06,"amazon","uk","co","amazon","ca","amazon"
1e+06,"amazon","de","amazon","uk","co","amazon"
1e+06,"co","amazon","ca","amazon","com","amazon"
1e+06,"it","amazon","fr","amazon","de","amazon"
1e+06,"appears","that","content","certain","es","amazon"
1e+06,"to","designed","programmes","associates","eu","amazon"
1e+06,"provided","is","content","this","eu","amazon"
1e+06,"amazon","and","it","amazon","fr","amazon"
1e+06,"certain","es","amazon","and","it","amazon"
1e+06,"eu","amazon","and","llc","services","amazon"
1e+06,"amazon","or","and","llc","services","amazon"
1e+06,"that","content","certain","es","amazon","and"
1e+06,"designed","programmes","associates","eu","amazon","and"
1e+06,"or","change","to","subject","is","and"
1e+06,"amazon","com","amazon","to","linking","and"
1e+06,"content","this","eu","amazon","or","and"
1e+06,"from","comes","website","this","on","appears"
1e+06,"to","subject","is","and","is","as"
1e+06,"a","provide","to","designed","programmes","associates"
1e+06,"amazon","to","linking","and","advertising","by"
1e+06,"de","amazon","uk","co","amazon","ca"
1e+06,"this","on","appears","that","content","certain"
1e+06,"time","any","at","removal","or","change"
1e+06,"fr","amazon","de","amazon","uk","co"
1e+06,"uk","co","amazon","ca","amazon","com"
1e+06,"the","in","participant","a","is","com"
1e+06,"and","llc","services","amazon","from","comes"
1e+06,"and","is","as","provided","is","content"
1e+06,"website","this","on","appears","that","content"
1e+06,"and","it","amazon","fr","amazon","de"
1e+06,"for","means","a","provide","to","designed"
1e+06,"and","advertising","by","fees","advertising","earn"
1e+06,"on","appears","that","content","certain","es"
1e+06,"provide","to","designed","programmes","associates","eu"
1e+06,"as","provided","is","content","this","eu"
1e+06,"to","linking","and","advertising","by","fees"
1e+06,"fees","advertising","earn","to","sites","for"
1e+06,"es","amazon","and","it","amazon","fr"
1e+06,"or","and","llc","services","amazon","from"
1e+06,"to","able","been","not","have","i"
1e+06,"to","able","be","not","will","i"
1e+06,"and","llc","services","amazon","the","in"
1e+06,"amazon","the","in","participant","a","is"
1e+06,"change","to","subject","is","and","is"
1e+06,"is","and","is","as","provided","is"
1e+06,"removal","or","change","to","subject","is"
1e+06,"content","certain","es","amazon","and","it"
1e+06,"ca","amazon","com","amazon","to","linking"
1e+06,"programmes","associates","eu","amazon","and","llc"
1e+06,"this","eu","amazon","or","and","llc"
1e+06,"advertising","earn","to","sites","for","means"
1e+06,"amazon","from","comes","website","this","on"
1e+06,"is","content","this","eu","amazon","or"
1e+06,"llc","services","amazon","the","in","participant"
1e+06,"means","a","provide","to","designed","programmes"
1e+06,"to","sites","for","means","a","provide"
1e+06,"subject","is","and","is","as","provided"
1e+06,"associates","eu","amazon","and","llc","services"
1e+06,"eu","amazon","or","and","llc","services"
1e+06,"by","fees","advertising","earn","to","sites"
1e+06,"at","removal","or","change","to","subject"
1e+06,"comes","website","this","on","appears","that"
1e+06,"amazon","and","llc","services","amazon","the"
1e+06,"is","as","provided","is","content","this"
1e+06,"services","amazon","from","comes","website","this"
1e+06,"amazon","ca","amazon","com","amazon","to"
1e+06,"any","at","removal","or","change","to"
1e+06,"advertising","by","fees","advertising","earn","to"
1e+06,"sites","for","means","a","provide","to"
1e+06,"amazon","fr","amazon","de","amazon","uk"
1e+06,"llc","services","amazon","from","comes","website"
1e+06,"in","participant","a","is","com","wordpress"
1e+06,"watching","for","just","rewards","real","get"
1e+06,"tv","watching","for","just","rewards","real"
1e+06,"yellow","scroll","repeat","none","background","style"
1e+06,"scroll","repeat","none","background","style","span"
1e+06,"comment","for","reached","be","not","could"
1e+06,"myself","so","say","do","i","if"
1e+06,"none","background","style","span","lt","amp"
1e+06,"gt","amp","word","spellcheck","goog","class"
1e+06,"repeat","none","background","style","span","lt"
1e+06,"spellcheck","goog","class","yellow","scroll","repeat"
1e+06,"word","spellcheck","goog","class","yellow","scroll"
1e+06,"amp","word","spellcheck","goog","class","yellow"
1e+06,"direction","right","the","in","step","a"
1e+06,"gps","nike","with","of","time","a"
1e+06,"to","forward","looking","follow","the","for"
1e+06,"gps","nike","with","run","mi","a"
1e+06,"woman","a","and","man","a","between"
1e+06,"go","to","way","long","a","have"
1e+06,"of","view","of","point","the","from"
1e+06,"only","the","not","am","i","glad"
1e+06,"to","forward","looking","really","am","i"
1e+06,"to","able","be","to","want","i"
1e+06,"of","matter","a","just","is","it"
1e+06,"to","able","be","to","going","not"
1e+06,"fame","of","hall","roll","and","rock"
1e+06,"to","able","be","not","will","you"
1e+06,"to","forward","looking","am","i","and"
1e+06,"wallingford","the","at","wednesday","on","and"
1e+06,"on","and","you","interview","we","can"
1e+06,"public","the","to","open","and","free"
1e+06,"to","want","even","not","do","i"
1e+06,"to","have","will","i","guess","i"
1e+06,"at","wednesday","on","and","you","interview"
1e+06,"ct","wallingford","the","at","wednesday","on"
1e+06,"is","here","but","crazy","is","this"
1e+06,"do","to","thing","right","the","was"
1e+06,"wednesday","on","and","you","interview","we"
1e+06,"show","ct","wallingford","the","at","wednesday"
1e+06,"nike","with","of","time","a","with"
1e+06,"the","at","wednesday","on","and","you"
1e+06,"live","comic","famous","world","the","at"
1e+06,"services","human","and","health","of","department"
1e+06,"to","chance","a","had","not","have"
1e+06,"on","and","on","go","could","i"
1e+06,"to","me","for","time","is","it"
1e+06,"twitter","on","me","following","for","thanks"
1e+06,"forward","looking","follow","the","for","thanks"
1e+06,"one","only","the","was","i","thought"
1e+06,"to","able","be","not","will","we"
1e+06,"of","process","the","in","am","i"
1e+06,"do","to","thing","right","the","is"
1e+06,"of","time","a","with","run","mi"
1e+06,"exchange","stock","york","new","the","on"
1e+06,"you","thank","you","thank","you","thank"
1e+06,"of","hall","roll","and","rock","the"
1e+06,"illinois","chicago","chicago","of","university","the"
1e+06,"to","out","go","prayers","and","thoughts"
1e+06,"succeed","not","do","you","first","at"
1e+06,"world","my","up","light","you","baby"
1e+06,"for","enemy","the","stun","to","chance"
1e+06,"day","the","of","tip","law","family"
1e+06,"time","long","a","in","time","first"
1e+06,"with","do","to","lot","a","has"
1e+06,"to","able","be","not","would","i"
1e+06,"eye","an","of","blink","the","in"
1e+06,"time","of","matter","a","only","is"
1e+06,"with","up","came","i","what","is"
1e+06,"to","used","i","that","somebody","just"
1e+06,"hunter","matt","hunter","matt","hunter","matt"
1e+06,"about","feel","i","how","sure","not"
1e+06,"america","of","states","united","the","of"
1e+06,"the","of","tip","law","family","texas"
1e+06,"tattoo","dragon","the","with","girl","the"
1e+06,"administration","atmospheric","and","oceanic","national","the"
1e+06,"on","going","lot","a","is","there"
1e+06,"to","way","better","no","is","there"
1e+06,"seconds","for","enemy","the","stun","to"
1e+06,"school","high","in","was","i","when"
1e+06,"did","you","glad","be","will","you"
1e+06,"span","lt","amp","lt","gt","amp"
1e+06,"aristotle","habit","a","but","act","an"
1e+06,"excellence","do","repeatedly","we","what","are"
1e+06,"and","flavor","supreme","the","with","capitalism"
1e+06,"club","friday","contest","tshirt","wet","certified"
1e+06,"item","in","incorporated","illinois","chicago","chicago"
1e+06,"in","get","to","want","drama","club"
