"freq","word1"
527033,"the"
317360,"to"
275526,"and"
271099,"a"
261186,"i"
226836,"of"
213865,"is"
182015,"in"
138834,"it"
131343,"you"
130854,"that"
125770,"for"
94100,"on"
90291,"not"
81430,"with"
78819,"my"
74146,"have"
73034,"was"
71312,"are"
66897,"this"
64613,"be"
63240,"at"
59252,"we"
56936,"but"
54736,"as"
49524,"he"
48691,"so"
48026,"me"
47728,"will"
45732,"do"
42772,"from"
42319,"all"
41235,"they"
38343,"your"
37395,"just"
37160,"what"
36920,"am"
36801,"or"
35879,"up"
35829,"out"
35630,"one"
34818,"by"
34471,"about"
33743,"if"
33583,"like"
32836,"an"
31353,"can"
31051,"his"
30890,"when"
29704,"there"
29649,"would"
28586,"has"
28183,"who"
27632,"more"
27387,"get"
27079,"time"
26628,"had"
24973,"said"
24599,"she"
24397,"some"
24354,"her"
24009,"no"
22826,"our"
22568,"their"
22306,"good"
22136,"how"
22079,"now"
21728,"day"
21719,"new"
21535,"been"
20817,"love"
20710,"know"
20243,"were"
19448,"them"
18882,"people"
17983,"did"
17278,"back"
17253,"go"
17080,"see"
16247,"which"
15794,"make"
15711,"than"
15670,"first"
15602,"think"
15417,"great"
15359,"only"
15139,"then"
15069,"going"
15025,"into"
14767,"over"
14758,"us"
14730,"much"
14712,"today"
14685,"year"
14510,"really"
14353,"could"
14317,"other"
14198,"too"
14065,"well"
14059,"also"
14019,"because"
13955,"after"
13730,"him"
13616,"its"
13615,"last"
13544,"way"
13515,"here"
13134,"got"
12960,"even"
12908,"u"
12867,"want"
12866,"work"
12733,"two"
12616,"right"
12548,"thanks"
12171,"still"
12061,"need"
11805,"off"
11768,"very"
11623,"life"
11516,"where"
11467,"rt"
11105,"should"
11103,"any"
10655,"most"
10543,"down"
10455,"these"
10335,"being"
10321,"many"
10246,"little"
10166,"say"
10162,"before"
10137,"never"
10115,"take"
10053,"those"
9956,"come"
9855,"years"
9733,"made"
9687,"does"
9636,"best"
9567,"week"
9563,"why"
9445,"home"
9429,"night"
9374,"lol"
9340,"things"
9087,"may"
9057,"while"
9029,"let"
8964,"next"
8877,"something"
8739,"through"
8580,"world"
8442,"happy"
8401,"always"
